Employee ID,Employee Name,Gender,Email,Band,Date Of Joining,Contact No.,Reporting Manager,Reportees,Tech Area,Project info,\n
210001,Meher Sesha Sree,Female,Meher.123@thundersoft.com,E1,20/08/22,9694930589,Kalyani,Sachin bhayare[0210001],C – DS -OS GIT ADB Python,Micron,\n
210002,Anil,Male,Anil.11@thundersoft.com,E1,21/08/22,9694930590,Kalyani,Sivaram kuppa[ 02010110],C – DS -OS GIT ADB Python,QC-HYD,\n
210003,Srujan,Male,srujan.b@thundersoft.com,E4,22/08/22,9694930591,Vageshwari,Akella Prasanna Kumar[0210108],C – DS -OS GIT ,QC-BANG,\n
210004,Bhanu Chandra,Male,bhanu.c@thundersoft.com,E2,23/08/22,9694930592,Vageshwari,Kalyani Polepeddy[0210167],C – DS -OS GIT ADB Python Perl,MICRON,\n
210005,Ashok,Male,ashok.a@thundersoft.com,E1,24/08/22,9694930593,Vageshwari,Vageeswari Panchagnula[0210151],C – DS -OS GIT ADB Python Basics embedded concepts in DD,QC REQS,\n
210006,Sai charan,Male,sai.c@thundersoft.com,Intern,25/08/22,9694930594,Vageshwari,Ravi Kumar Gupta[0210501],C – DS -OS GIT ADB Python,Visteon Audio,\n
210007,Harish,Male,harish.a@thundersoft.com,E3,26/08/22,9694930595,Vageshwari,Balaramu Naidu[0210058],C – DS -OS GIT ADB Python,QC REQS,\n
210008,Sidhu,Male,sidhu.g@thundersoft.com,Intern,27/08/22,9694930596,Vageshwari,Duryodanula Anil[0210088],C – DS -OS Basic LDD GIT Audio,AMD-HYD,\n
210009,Vikram,Male,Vikram.123@thundersoft.com,Intern,28/08/22,9694930597,Vageshwari,Soumya ranjan Sutar[0210169],C – DS -OS GIT,Mavenir,\n
210010,Shiva,Male,shiva.s@thundersoft.com,Intern,29/08/22,9694930598,Kalyani,Sachin bhayare[0210001],C – DS -OS GIT,Soumya’s ODC,\n
210011,Ravi Teja,Male,ravi.t@thundersoft.com,Intern,30/08/22,9694930599,Vageshwari,Bathula Tulasi[0210317],C – DS -OS GIT,QC-HYD,\n
210012,Amar,Male,Amar.1@thundersoft.com,Intern,31/08/22,9694930600,Kalyani,Farida M[0210179],C – DS -OS GIT Basic LLD ,QC-BANG,\n
210013,Kushal,Male,kushal.k@thundersoft.com,E1,01/09/22,9694930601,Kalyani,Sivaram kuppa[ 02010110],C – DS -OS GIT,QC REQS,\n
210014,Kaushik,Male,Kaushik.1122@thundersoft.com,E3,02/09/22,9694930602,Vageshwari,Duryodanula Anil[0210088],C – DS -OS GIT,MICRON,\n
210015,Snigdha,Female,snig.kola@thundersoft.com,E1,03/09/22,9694930603,Kalyani,Sachin bhayare[0210001],C – DS -OS GIT,Visteon Audio,\n
